col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
KXRYt,yCfBl,FfJtV,37,42,39,40,21.105386355820357,13.43078314009086,muaTx,33,8.729161055952815
ZEJzD,SXIon,XyqBx,30,58,37,41,23.662002094153106,9.42103699100821,oGUXm,36,7.572303920145982
WWlxY,ZJMXh,HsDNG,29,26,45,43,34.341043410513834,4.231800633897283,TLKWG,38,10.74859752167877
EnHyb,NSnuq,cFZJf,25,50,48,46,0.7437941848018248,9.02622837744285,vXMmn,38,5.313513434087866
sIkMm,mkszw,zzIjg,35,39,48,51,20.800248106054955,12.198554732840382,nWPXH,38,-16.124205789579722
LpHsv,tNOSu,EcIkk,25,48,47,42,25.451615298876828,15.009490077723811,mBDbk,34,22.535047643709692
ErFWj,TFjxp,tyHDH,52,43,39,44,25.973447194690618,13.537764933738448,zikQz,46,10.389632619135046
eOykJ,hAYlq,irbze,41,55,45,40,3.6158445245031743,9.92458962893668,EiCSE,31,0.9065234591429308
jrEDp,dITDL,RTHHM,38,50,40,39,23.405406815071846,18.759650505866382,onBCM,26,-0.6499632111698483
uVTwr,lFfEj,PUwPn,41,49,36,42,17.761561923111934,12.818882940144919,tjqrc,26,0.13544140470206756
cSUqN,BMhCx,JMcAx,27,48,46,48,26.239241690718828,14.115179222574993,nyqNq,27,13.033456536942063
otUMz,ZLCso,tzszs,18,43,51,39,16.80524650407574,4.819685102099648,QTmxS,46,5.189133401733082
lQKzp,OiioP,bwblK,31,49,47,39,24.597738778403837,9.138909499517883,gPnEE,28,9.274986821206996
DSCIu,ZZZve,SNUmV,17,39,39,45,13.078663014882496,14.229958136231204,MBppo,18,15.354523814196492
CdXqp,mvjeE,vQskg,25,39,43,43,25.946782046134544,13.9286146603912,kOvmm,29,2.553455076348083
vqqUM,VnZeI,EfwFN,32,41,46,46,10.636341103329775,5.113976115175557,CvJSX,31,15.565896404398787
TEJpc,dFvNF,oYYka,28,34,45,36,5.375913609193187,10.737653440564314,ExDqc,36,1.9839331662029003
IOFQa,MpOqd,EqPgO,33,36,50,39,13.42816099812387,5.862873262437831,AkdoL,29,-4.191624829912035
hmdSP,pIBov,hYbOp,35,46,53,45,28.37508439818828,7.014412113491276,KzlfY,19,-2.760461479945234
RVIsF,MLmab,sFJrY,29,40,46,42,21.35921409300049,3.915923795126047,qPRYg,40,4.944644453080948
ozKIK,IEEbF,aRark,58,48,41,42,29.48050355009444,11.67406558018749,qxPCi,35,-15.563007114854276
yHsDS,yPajX,MMBLB,34,46,37,40,30.141064463218832,-2.790253409762876,wbuaj,34,1.0867483314411026
lMOjh,CWbWE,GBBxU,30,45,46,38,32.49177558055672,9.585306209742136,kUiiZ,39,-4.643710568966197
ncQEq,arwod,dhqOw,43,42,49,41,16.036690579152843,14.795725529689516,CjRbM,37,9.254611991930467
NLaZW,ZEigs,MAlwz,36,56,39,40,16.530200768728555,5.351136756153361,BFwXj,35,1.9866891689001562
kcMUV,DNnit,NkXGP,36,51,39,44,24.154769270349735,7.2616189254083015,CEDiE,27,14.775630913246921
MytMD,ueDlE,enOET,35,42,41,43,19.377242290052678,8.953821765774784,gRLvY,37,-4.699599142213408
LsjZJ,IKsxU,hqCZH,20,43,48,39,14.675884919332466,11.494816000293198,lxExC,28,-0.6981716751728415
pHlgM,wNalg,OsnMd,39,41,43,38,21.629619917685133,12.401122760507539,qasdG,31,11.927083750934477
TTbml,ViGxk,JDgVR,18,47,51,39,12.843322293474325,16.049044964655685,paWzB,28,2.0121303249634974
QxBUV,liEVN,UzXas,47,43,42,40,16.229009777284155,14.936703398562836,IhIGA,27,-3.9998363652092923
oUaTS,VqznP,ybWxH,28,39,41,41,17.1557452757864,10.926224274492101,ZOsRA,23,-10.318034746921532
EWeEr,RotnW,osArE,34,51,44,43,26.32581790619354,11.48369187155118,AofkY,36,5.562566108207423
TBVWC,cUeEy,fqqYI,28,48,55,43,12.928468241034953,7.418411535087567,DSzjX,35,-4.161311396007974
lTdlW,TACgX,LDgsb,36,35,45,44,24.475945988209784,9.409716111384746,JomEk,32,8.573767840130483
vYcNo,iNgxh,aPCDL,23,51,45,43,16.636493523433113,8.64860822597144,LFbgI,36,4.333632774094809
ytPrZ,kgHYY,HdOdg,29,41,46,44,22.908465138113336,3.9783805509329504,nibcE,37,-8.683452862456496
GVRPv,DxvIk,mFHnd,48,34,49,41,17.974986571347507,8.233458885805787,Orzfj,32,-6.1061842671883095
CWvsf,ybZzP,DPNlF,42,43,49,46,12.438223788866566,17.345738729761596,MdBsl,29,15.834441404716674
cTbfH,chpDS,FktMN,44,44,44,44,27.44029162670244,8.161773208304139,EUNOF,39,-8.222133363042575
crStI,kfaEI,usctf,42,55,40,43,16.16075627913048,8.65449354849633,tZCxZ,24,13.64426525607067
mabqL,qepFo,dcBlB,40,42,43,46,17.120171005164703,6.661511840203691,juIoS,30,0.2676374311843581
ulRwB,FIzff,unHCr,33,40,53,46,25.90234885152957,6.028418376614136,TnMLn,32,10.185858628445711
MjveS,XkQqg,QmEVb,21,30,41,45,18.669116070343776,8.844270557689235,Mghwg,36,2.6794035757968104
fhcZt,EsrBL,wHagP,15,42,38,44,24.780030793194108,5.974438992543581,AtvEN,38,2.71313237454089
czQhw,wqwNr,sbgBk,28,49,38,42,26.269872089475466,11.281419811110583,utlXM,27,5.233916502710583
WhHKH,aScTG,CbJWA,32,39,48,45,30.71971730919385,12.848880509205799,JPiBc,39,20.592770201722125
JYCgK,ZPOSG,cvmlC,15,39,49,49,20.110486330800676,13.365933040126272,opXqv,35,-4.894104961804228
NJXaX,YMlJT,OeXBd,24,46,37,40,9.650785726498146,7.249225887551598,VSsbH,30,-4.519825811625186
rSpEu,jtsNE,ZWhfH,32,36,38,41,40.15827376642905,6.284300117797004,kKwUD,35,-3.8846981526491433
lAYof,wFgvr,vfkRh,17,42,41,34,23.205605840823146,11.231506261952791,scPcj,30,3.3690427289825653
umgdL,NPaUh,xuWzu,33,47,51,47,10.327659829752328,7.634535377064087,zAjWa,39,8.33588120984741
BuCwH,RyTSp,GrWjw,36,50,41,42,17.708714358250955,7.120497441394338,KQxxs,16,20.94222317149931
QDMze,PyOQN,vMnsE,23,30,53,45,15.696040380225156,11.9596910597062,PJqot,22,-2.0193792954042857
txbtF,fjIgb,mEHeG,47,41,36,45,22.18768367213654,6.907645701387057,DnqCH,22,13.652743609928363
neIHP,hBLmF,MOCFO,25,46,43,42,25.031205262239713,18.82338378889884,Rpfjh,29,-14.223579176231226
qSvod,ASAeC,ZxOJW,22,57,40,43,25.215289019442494,13.385115606696495,Mwklu,37,3.5367137274094747
JhjBM,kEPnl,uEKNC,54,54,42,38,25.97687226861503,13.472167519874857,aNbGC,22,14.655907893124816
XrrCe,zyOMS,tYCGb,23,47,41,44,1.6553199320893235,11.027488166045725,DmoWs,41,5.54115520737097
OcbBE,tIjzQ,iustK,32,35,41,42,23.51218280647405,3.890847645230565,zNxke,31,33.78824181293602
pwSJO,UduMv,ZCieb,22,47,56,42,33.58144216067272,8.820664486376424,aYFjH,39,-5.460825410582672
KlNfo,EiNsS,XqWUq,23,43,47,40,35.910000976929936,4.291016032284327,kRQgm,36,-15.186926849913718
zWcio,Ztvwy,SLoRS,34,53,42,45,32.243383751075996,12.903492592877619,syaQY,45,1.4168093775732538
JuVXx,vXhtl,hRBji,37,46,38,41,22.51206348994095,17.49748258358143,DBuPc,40,23.808558838410416
XAsKm,eVaWL,YINtj,29,44,45,38,13.774675736914336,9.08538854257457,rNPbT,36,5.293210856622751
EsNvj,kyKTz,RyxmZ,31,42,40,41,29.074827841987826,10.242654288051781,CiLXS,32,20.577502489943335
euSnb,XXpUW,tDWnB,36,50,47,43,18.928115653320788,14.035585322092384,UBixj,21,-7.09137037843856
ciIeg,sPhAw,ZHsVc,45,53,42,43,20.286701262876342,5.810810226259073,NcFjU,34,7.311225728353872
VFXlC,pikkZ,NvwiV,37,36,42,45,22.375145647050495,4.735181279542588,jEJYZ,32,7.259857554988376
VGoto,mJgAE,SSdfJ,30,36,40,41,9.790241591079953,15.145900510566374,JGYus,26,0.38693952482928706
jJwpo,fPcuk,pRYXo,22,47,46,41,25.98138573104242,11.983196857288634,wuTdu,27,0.018886879768043485
mQGiE,kPFkc,rFoIR,30,46,49,41,27.84373816845507,9.703732479437967,vKxdU,37,1.7898992884862803
RFZBk,tpBMm,bkqPr,40,43,45,44,25.552981639616874,13.137368873589265,ZMsnx,31,16.831792932151266
bmMMB,Oqmdi,tdJfA,32,39,46,42,19.44007482776743,8.510047016559831,RsZVo,26,7.737921952637464
BBIme,lDuMm,KVdlA,16,41,52,39,26.963794264851007,2.619480833000331,Wkpze,34,13.078415920095326
ijRAP,JlgNZ,ZVXhg,44,46,56,40,23.430641131630235,11.561752117546364,LkCAt,24,20.386458257864003
wAKrX,pUhDL,uLlOa,27,40,45,39,21.032219179198336,11.170136741621121,SvGTA,30,-3.6740286631149157
loxur,tVTsn,Hmlnv,39,47,51,45,15.43746295881693,10.90623364535144,FBQWL,8,-0.8517527639965099
JQcdf,dooUu,bwoUT,19,40,52,41,24.441603841567915,7.118405438756568,SIkdr,33,0.5612560928346881
GMBfg,tnaYg,jliut,17,49,46,47,15.365445862733068,11.323920740352385,GHVUT,44,5.318666205668954
HliDY,fnDGe,WMnCj,42,47,46,42,17.13757705530545,9.96674807533001,AwsEH,32,-4.470971106794533
fSVuU,opvWL,Roivr,29,34,55,44,30.16690537661178,7.786013128961427,laCfa,35,9.202264457123233
qTnpY,nBIky,GYbDt,38,45,46,46,18.827657672326676,6.6743416821132815,pYFBa,33,-1.4398956262143487
xEUjU,FttPX,nxEpC,14,40,47,40,18.895549540382177,8.398331395226494,dysiA,37,5.069772154523789
uLFvN,UIzzY,MzMnI,38,46,43,44,22.720839760766403,5.3101765286654485,qTLsN,44,12.156892299801951
wtbXR,BocvH,qAlRM,18,40,40,40,3.6932893263615405,5.436419862689997,zbLCV,31,-3.272742641949738
fyOWv,NpKcM,CRTfY,23,46,47,35,27.755815418078175,8.029685231314303,lIRrR,28,15.209195345027647
iQsRb,FwtEj,nEZVr,18,37,43,41,34.519258544248586,10.22799125645709,qMlgA,34,9.538187532659432
XnPCT,beQkS,nNWuA,13,37,44,39,8.162442871590075,12.408028345220826,kXavE,29,-1.0389617568975922
wqbAv,Lytsq,mhTmR,47,33,48,40,11.650199935706036,11.86307892070679,lQtsX,37,19.888650958228695
QBZCe,podSw,GtgPf,24,50,39,40,22.889698315554003,12.791117529099113,YMhMU,18,-11.934025830288633
ROLIm,dNhUo,JNQVm,24,33,53,36,15.167878721227009,7.426699135491469,SuwLm,34,-5.428752311160833
OAQUU,uQfuJ,UjUXD,36,55,44,44,13.000590403671133,5.476220611486689,ZWoql,31,-4.644415249589887
XjkJK,vhBJF,NYBhD,28,42,45,40,30.306923292179967,8.827393489208111,GjOTE,38,7.880182405506377
ztYUX,abvbm,mgusm,51,38,32,39,4.51551056342716,10.549039655145974,bQnZg,26,-7.858492353571613
Mmmqp,Qhsgm,PJqPm,34,36,42,40,20.376667014237242,6.548441569604316,DFPqF,35,3.9958902584137665
bYqvB,uXusC,bwNLf,32,43,50,41,29.09856706454353,9.275439350748638,UJlGC,34,15.877500962593773
wKtYF,OliMI,EZEjX,22,37,40,39,29.82580075893316,12.89336711714862,gXfWW,40,6.30142577356008
wiMpm,RrTDu,HnoXe,14,38,39,45,18.439130740271434,10.368941371769806,JKGTD,34,8.417668677890774
uAcWa,OCZTh,QNJbR,38,30,41,42,20.353768544100287,15.72957531385002,xWpAa,40,-8.957962651569142
RKWUD,qsTFJ,mlQay,31,44,49,46,16.160979487990097,13.567808952680204,TrkeV,32,5.3555171555807135
hjJsR,jwyNM,mOQSk,44,48,40,44,11.619464250284622,11.261420468929733,CoFJt,29,-12.431036591039874
DwUVP,pEmlC,JrboN,38,40,48,42,8.579453172747641,9.667387573730187,jctds,35,-6.017164461051971
gJQXm,waGnG,XEGIb,48,51,37,37,34.07852142913608,11.915483093576054,xWGHA,29,8.748974640389289
ITUNG,btnFD,HTUUu,33,41,51,42,19.361319220165086,14.38671355954608,fDzaf,31,0.18772771429176682
oQbTk,xwWhU,niOds,33,45,44,47,6.254247676476282,13.631618004699437,gZzIx,34,4.502560961350988
kKxja,APpoF,mPYMr,26,40,45,40,31.44073528581316,4.0418743305565314,kDPUf,41,-15.588243427238694
sOuJT,wycAq,NWwXw,15,41,35,42,23.26679232468756,10.841554738485625,gadFl,27,11.427739965365797
axFiM,XNwKI,wFZrk,24,43,42,41,26.362685476019504,11.698682536915914,yqSUu,37,3.2985071672522857
IQqHJ,foaLA,fdyLM,24,30,48,42,25.235994069572808,6.189857161904149,EXiCD,37,0.9346497360374633
rKOjz,PJxaz,CjjpS,21,53,55,44,28.00280177236332,9.243391253036055,AERIG,33,10.453549272448694
kpLmW,ixThg,VmrqT,31,51,41,45,24.405732736697917,13.33054413561258,zoXmq,36,-13.936027836978134
qtEQp,eDApM,aFWcf,14,41,43,38,23.94042495287385,3.623763804230502,ceeAZ,27,16.765527376301748
NEEFL,grvKg,sLuQq,31,38,43,40,29.145070382040316,9.391330059853965,STLjp,26,0.06284504374360278
lfwJc,vhhKE,rdNgU,25,36,56,45,23.668756559159316,9.415126025662623,JOhCB,45,1.669072207720756
LlnNl,PPaLt,KpJMV,34,45,48,39,0.6137079742360392,7.996587970674869,GeNxn,36,12.351561960748274
Kwykf,yXYCv,gupFm,33,41,51,43,22.169564569782363,7.198315258357042,hkmXV,46,0.5457938969253942
OPaqM,XxFuY,sPEpv,35,47,46,42,20.149587647783864,13.141401154068822,etQev,32,10.19846373864981
YlnAf,VfsFO,wtbkE,16,46,53,42,27.942672242823143,10.7380422112689,YZWgU,27,16.43350556670849
aaBBQ,ubTAb,POinL,36,37,47,39,28.563098977953945,12.081892300694136,rarIT,41,1.8167767715993408
cVXSb,AqZYS,rkeyx,33,48,36,44,17.231544257798927,8.226675721370926,YubXL,36,-0.5310652691084394
LkFeY,Lcjrj,FKqBA,33,41,57,44,22.083391634077223,3.382071571728483,aaMNx,33,15.456464522989164
NuVhu,kmTXX,GEEvb,27,38,43,42,8.296402843423456,13.74941823655997,wslJQ,35,1.227100314544331
QbIsN,jHACR,WRIiO,40,40,47,45,30.7586363703388,17.584062773686114,miJKB,35,-2.697033711797298
rRvBZ,jcGJb,slDLY,41,38,41,45,24.980319891721567,12.518500244994414,xXZRM,41,4.324645000851306
nEUZC,GoHbt,hvkGh,36,34,49,41,23.359768150744777,15.13509431729165,rsakY,25,4.784327142831259
pMidP,OPJPC,WxpjN,33,42,52,43,29.990669798628375,10.987435573418141,zkWka,26,-1.997320013022053
rWniQ,MBcyU,setSp,18,44,47,44,19.940037683085958,7.853676694829264,ALRPf,36,5.250448579773916
EolRK,kCZJP,RLRcQ,28,43,45,38,38.604715751208275,10.136494071628226,DInoL,27,9.915109636358828
rljfp,ZwvHy,SNptk,18,42,40,42,28.07217420036663,7.853091119219131,KlJeX,42,22.572980786499215
GzbjZ,EvAzr,YXqHf,19,35,48,44,20.926050611422937,10.158352146936561,feDzD,43,2.7434580100735753
vgoRb,BdTfr,HueAF,20,42,39,42,21.98186211800497,13.056726451269485,yWlfF,22,13.364894584362972
dokJh,VwjNR,xtGZL,24,42,43,40,27.084975998069112,6.394671163655958,gGuSY,34,7.102142232675501
YIdrV,wGLDv,GFpiE,20,39,45,41,22.4960808117116,14.6685453644407,cOPdr,40,8.718574250621703
cHbad,BOHyy,uVpFO,39,45,44,42,29.212487547657616,17.717883541279253,ruhsR,35,-11.083031969184551
FXbkP,jPbrA,mdAiJ,37,31,49,41,10.104022280236192,13.917643534761044,axdcX,32,0.9176552748146127
FbZye,lKljs,hzQwl,20,35,46,48,37.59732625937001,3.2983186154391833,eOUdT,35,20.249396191525243
NXeRt,KnlYS,FDTKE,26,51,51,42,6.110321554886012,11.921473061998778,WZgip,38,-4.600370231458905
qxBjc,PDjDZ,jIaUc,22,37,36,43,13.293892093086281,11.096729035324843,VMrIB,29,6.4875068995877125
hztBm,iGNcN,lbDPx,49,47,44,40,21.488023496992337,6.3153663421417425,ZMuAz,29,-1.66394572150406
autIy,jcrQX,GulDa,33,50,46,39,28.865749892617806,12.770735162936646,DizaW,30,15.802481036472777
mSBiV,xqCYY,jELwY,24,27,45,42,4.69781765942982,7.797161496219456,SeYGq,34,13.949446693999187
bjHub,gdpJv,McoMe,20,52,46,48,21.364868318243087,7.167369030661511,Obpck,33,17.4203802963859
SIFPO,cRWZF,trANV,36,43,50,38,29.992518687266838,6.659675599216637,fUBFf,30,-1.657669507022658
nJEJf,iFviU,eaygA,48,42,55,43,19.470025052564438,10.110769659059306,pHkOW,37,11.717272330321123
AXMZX,YdXne,pyjzA,27,40,49,38,19.062443229551345,6.545301057748212,Wibvf,36,-7.500523801902473
QfYOH,TBkQu,phMbS,23,39,47,41,15.05680764785047,7.650287245398813,EKrDp,35,-1.3972340365945737
NUDgv,rKjuZ,kTpKp,31,41,36,40,26.62482635817972,6.28340067724209,wnmCb,24,14.022792472441035
OMAWt,EUHYi,WcoCu,40,42,39,36,17.355517387223166,12.4408462817559,mkObL,35,12.541131038016422
LTKix,CKaXK,zGCaH,28,44,49,41,10.885547315605509,14.904324598617595,yzQgY,25,9.503045223884918
JqhPn,sQzEh,UyCxc,41,47,47,44,15.189163222625071,7.124607029049312,oeoSh,31,0.5496233390478595
rktYA,qThxL,KqwBl,28,34,37,43,27.13389779970342,8.172310750002195,UuSqX,35,7.285251019377412
glbpe,zpAYg,PllNC,43,41,42,41,15.557300332877045,15.187011950406085,ILNcU,35,8.76701634749501
vICwF,GVuRs,UOtwJ,22,45,45,38,23.95432515997619,5.493194495402968,bLBzO,31,-0.8070557715989741
DoPgW,OntQM,McYOr,32,42,48,43,8.564633188078439,15.971899184771644,IAVAr,34,-0.5635458992821629
guyyk,SAdDc,WxyzU,30,48,38,36,23.60859532656572,8.847456171779324,jrbwY,13,-3.1545446827442953
LKBTI,rpUci,hPQRR,42,49,49,42,24.794940654779985,7.595143974715191,NpuDH,40,10.867950620930138
UTHeV,OQwfC,rtmvi,17,35,43,37,17.73679566458136,9.654711967161996,pfBaB,39,17.515580956102497
LdAQq,kpbHT,tJhiX,44,42,48,44,22.93364279488802,-1.134336913471639,uTuDs,33,9.069042703329938
rQpHU,uOthv,uJKUK,33,40,46,44,15.082662541146764,6.600656608131782,elBPs,25,3.9308259348196763
gkVeQ,PMdbM,kqfTW,36,39,39,39,13.869445809218288,14.783381187543824,quBQo,31,7.121087007720658
tqNSC,hsJUD,BEzlC,31,38,45,45,19.839856200010587,7.9220102831569355,fsAiy,42,9.085918216055756
WpSrS,CBTVb,eEhIU,29,39,40,39,28.096444438254473,8.897975133165124,IgnpE,35,11.549494506315572
ZvVKW,KgpJx,Cmprp,14,44,46,47,24.094404056382498,6.23971229916772,HjcFq,34,-6.071661723255907
PtLgr,YIawU,PZVFw,30,44,43,49,0.04300420589070697,14.319188176081136,SCqmO,23,7.536733361980012
nzyMn,gpKps,KnnXE,46,45,41,43,21.590549971349517,13.596954604509694,RfMpW,24,7.206798008687716
PRpvP,gqXKB,nHFOE,54,45,36,44,20.732705289558155,8.993899770003404,VBMni,35,20.54363580919644
Djvui,GJPdT,aEWEL,28,36,47,41,7.301177849930125,12.775233184453196,iWFaY,34,11.8449047881492
weiga,qEXiI,KIIjo,42,45,39,42,10.547542017868588,11.840563211741227,hltqe,45,-1.4463857930078232
vYXlI,Eyedq,HRQAT,25,44,55,37,17.178040567402547,19.126228987127963,ZRzwa,28,0.9032542690136398
cUGrb,DROzR,fmDgM,19,30,40,40,32.49672706774994,15.645386376945918,vGkZF,30,11.128464414015873
MHgww,QBJHt,MekvM,31,45,38,38,20.367705344305456,12.1993597303013,kCocV,31,13.203793136581728
pmqsw,saFhc,inARG,46,50,37,43,25.48225314295999,12.902075812420339,AULiy,29,1.9021356342910511
kfGRR,sBtjg,TRwdP,45,31,43,35,23.856351633165033,9.55492524126252,hgeKR,34,-7.022618580817083
zZmdG,uUJJd,ovxBD,26,41,45,42,26.107316976067164,16.852556453825024,RvrHC,25,-3.698532622114879
FBRZu,SJiDM,KbwhD,26,34,40,48,28.68314782058029,11.52277243109166,EXRdb,34,-7.106769913310602
BkVAs,jfQoH,zFhea,29,38,47,40,12.787168094751381,11.869253940752104,wRJBR,26,5.770391212483896
woRee,VjDFU,yLsGx,25,53,38,40,31.170567512746466,7.965590770159774,UaqxV,35,0.31727714274949204
cxrRo,UCPWr,LSogw,30,44,51,37,26.073537958675903,6.729801797141356,krQsV,29,15.081715451727625
ehKFj,xvPFp,boRWm,47,42,52,37,16.770419686067978,10.112830166416066,CPvlq,35,18.59339295748469
iAZrt,vEDOk,SEFYe,28,48,50,42,14.886778330482095,11.479503146402783,ikXuP,32,9.013469436699367
VEJYg,ifcVT,MXpAc,46,45,42,44,9.888711092426918,6.573518859040457,JmOth,31,-10.488024407048991
giDnE,HuOgx,gQIbr,21,47,44,37,27.72298939123757,12.424505036810526,DNLVw,37,1.879403893801372
xMSiJ,MxCum,ghwoq,36,35,48,43,8.292648625478494,11.470260281338286,amooK,37,-2.1351984264285564
ruxFD,uUHbb,QdvBs,30,43,40,41,20.656808553939115,11.261207488924416,pdBsl,39,-0.7424344409283377
AryfU,JlaPY,twSaJ,22,41,39,44,25.853311641959472,11.324432042965302,nRQNA,28,1.991578003986822
jqEiG,jTwTO,mmXTl,27,50,45,46,16.35861823498107,15.801486744194968,dbMKB,37,9.228413997289376
gAbLp,DWBUp,KovuU,35,43,47,39,26.867992473963696,13.427640179371789,CJXtY,32,8.560274495842513
UTbqX,RpSbV,xMDjv,34,53,43,46,13.877785007909527,4.8098970574253395,yWkyh,31,-8.078245247129788
VjiHd,euEiM,pqDyt,27,46,52,42,19.758824894699295,10.154679427025776,HGoHE,21,1.9651106614431213
qKHAM,aOqnw,XOxXv,28,38,54,45,20.196165070149082,11.785858050752923,xCywr,34,-3.3645220750164375
lmPqz,MxPsU,MpgAW,34,47,42,44,29.371042733405723,12.198821009209006,JuwIA,30,8.568330945619708
bigXh,XPYMz,gIqbM,23,47,47,47,9.186927833821668,7.053452024904464,QvZFH,34,3.5907125210217545
QWQrb,EjigY,qwkxz,17,37,52,38,28.711115721227536,3.6746628570115334,xZDkG,38,-0.7758369044502045
mjAqP,pEGnl,gjhnM,36,36,38,44,8.190985734013923,4.537626982987442,ofSqm,40,16.104094076058345
AWSVn,dwUpj,mLEDt,32,39,41,44,13.148787855526344,15.939488507873609,knUpG,36,-1.6844443572468677
tfwuS,vckIG,XxiKi,21,39,51,42,24.100492567827665,12.220515006319625,DxUbG,31,6.342299564940788
oiyEb,uiYfq,EJAQs,39,48,46,45,24.3358376877709,17.510935094409916,CUlKr,32,10.904628605625359
SRMiN,yqrYu,degAa,25,39,50,41,16.170366394356876,7.136001942415239,erFrz,30,9.003113117050194
ahFYF,YFonG,ARexO,18,43,46,40,26.56704550499469,7.321578762006592,GWRKC,30,4.9189466246581155
LfzCv,PymxN,NPnVD,24,44,48,41,29.61609051777001,3.824743017439401,sNIgp,24,15.72529361028224
GEpVv,Iuonu,nkDfX,32,40,50,43,15.891753141306816,5.008670556746044,cssPF,36,10.129868870138157
IfCaG,ArjKZ,kkWmm,11,36,46,42,19.700044756709143,14.387718951537408,wXfhS,28,3.3263681007140593
kgjNo,LcxUe,PaWCt,14,46,39,39,11.464492441420916,5.982300479187799,WRirJ,29,1.8393177610662073
sHNWY,EupgI,FIlJJ,37,37,52,42,28.83723063545193,15.617493071481647,zHtaH,32,7.620740170627437
CCneU,btOcw,Lhqad,19,32,55,43,18.882767861932663,5.062534130713568,frXWU,37,7.893749938351084
fCecY,TxQKa,psySm,22,37,61,40,29.943781871964,12.604689802683117,DeqMa,38,0.1913751507775947
EKVHC,VhUdM,eFkRK,31,50,52,42,32.21774137674461,13.758346569220352,PJeat,36,-6.335115351870284
WCTRc,PNFHp,uCqPK,55,51,51,43,16.664626571912976,7.207629101887617,EBAsE,27,-7.8143424061465065
GmWQR,tCoTo,NTyUO,23,52,48,46,25.14758738380724,9.856130764701566,NCIGC,40,14.567033060925315
pjnya,KgHql,YrYPX,35,50,43,41,33.48454961475699,4.016985670078407,bMPrh,24,14.068413099220647
waiJf,gBpqV,JVcVX,34,44,47,43,21.405268196206556,6.7200027176014885,tNxcS,28,2.8623097236075634
veDIs,OptMg,eXbvY,46,29,36,45,28.196038617110133,9.208784627393221,LXedg,34,1.4120726870762534
rKhqD,iaSHD,aqKNZ,31,49,49,50,30.101308324815683,12.246634028897093,grkWd,29,-1.8526362214052279
dXuQF,MMBxL,kNgdg,43,50,39,43,40.872282206221456,11.510401905959837,DAuGg,33,17.55300308530166
QOTXK,iTzVW,rqBIQ,35,41,50,38,21.411148180135342,14.09366646528457,CdPjR,33,16.85410436011784
ERzQJ,wnEpy,JpjiI,18,46,46,42,27.431694397052183,7.473542194112177,OZMEf,45,2.0796345682928132
GFKNB,RrxuE,cpQLZ,39,39,55,47,7.403024125884501,7.051784082358793,TiVxd,39,26.240059085437334
GkSZd,QwDEg,UYxGK,20,30,43,47,-1.658968817283828,3.1920767210424064,CmFeU,15,-6.6956332874396605
CzyBy,mGwsO,IlHLG,18,37,42,38,8.050132239249306,6.998420373702054,QIbAR,36,12.814991098299984
ySDSO,kOwpL,JeYLD,35,45,43,42,16.63671651666133,16.05582316800345,eSpIx,33,10.055809052460516
fsPkD,hcMVE,aJYdK,36,47,37,45,23.639638756153182,16.03689768527018,SWzVc,44,10.902136481850576
bQMhf,ulrBG,WrJBL,35,38,43,40,18.687568902512975,16.873910620114724,JvQSE,37,6.573032850898542
CXSsG,pTECq,RdTXK,37,45,53,38,16.423341226353394,10.915427398580066,iEmrh,26,4.714403432614916
JcvRJ,GFWxH,yUpqx,33,39,51,39,22.527257549176323,6.255665776275892,dfWtJ,11,7.9444774141971966
bRtks,SspZS,uJoye,41,34,46,43,25.96738267752303,13.92814836145023,oZeKc,37,5.446850545877858
MimwP,JPBwN,bbdka,21,40,41,41,15.440067468600489,7.606472794787209,ZbqPY,25,9.624080117248852
mcSOm,jevhC,tdWPh,47,45,39,39,20.026952475099897,6.478392218642104,qpAXq,21,14.86391112911361
EGUPg,Iimyt,bBWVy,31,37,42,41,12.548425882665319,8.546278990970864,lCJEs,28,-0.5868882074179984
MxtDC,rjHOq,CVllE,22,44,42,42,15.364356907488007,4.9472295749117094,tntrN,26,-1.8864319440819122
Sryez,ZjPqI,FWqMY,18,41,45,43,39.47655515864338,9.007674987531226,gZqdX,32,0.999741530867519
NVSzG,ZWRhR,eZLgF,47,42,39,39,26.505382651629628,6.713825032929634,fMESk,26,12.976695482572488
NgdbU,HZfGa,JwbRm,27,45,50,44,18.339963238194294,9.323178745998787,CtWJi,20,3.565645565023755
ZaLkS,uOzba,JJEoc,27,45,42,34,31.300934963512113,13.461964543943864,zqqon,30,16.171763703662094
JqeQH,LcUUJ,obdnz,54,39,45,47,29.208882638247186,10.205327588525773,XPrjR,32,5.067520198420136
knrPa,JPIZT,KTtfu,35,45,34,38,19.936701747101914,9.172460066809865,wTzHx,18,-8.384648217292547
AkMFN,GZgWB,MDIuY,27,54,44,40,13.241686950564848,10.64787558605536,yajta,39,2.120499876740845
GIdGG,KWxco,ZfhgA,35,36,49,38,18.03951895862976,4.99931634122252,hPGro,33,1.0631399003484105
efINU,invck,hnteE,24,44,44,41,19.39438244318081,11.51242865700008,hBivH,22,-3.4984266225382683
XuOMj,wSNVr,KgTcT,32,42,39,42,38.29894169251753,15.892509356901808,QoXMr,33,-9.616472041998868
pzrlb,HIOvM,qvwCr,28,45,28,43,39.9463632389004,9.202368234720682,BDCLp,32,5.631724619595527
